epoch number,test number,l,N,G,Pm,Pc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,15,16,16,18,15,15,22,19,13,16,11,17,17,15,16,12,16,17,16,14,19,16,16,18,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
epoch number,test number,l,N,G,Pm,Pc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,30,20,25,0.1,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
averagefitness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.08988199,0.100173574,0.054157233,0.029800884,0.153100585,0.636057774,0.117080045,0.065353587,0.02325853,0.109496812,0.044775334,0.110054371,0.063663072,0.009721123,3.68E-05,0.458341925,0.368725258,0.07709076,0.039337031,0.001900299,0.07745335,0.115137047,0.011937403,0.002399425,0.011433285,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bestfitness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.539913312,0.586490799,0.102368949,0.059600378,0.510263137,0.726766558,0.500275791,0.494910048,0.115738061,0.115738061,0.115738232,0.119034531,0.117604148,0.021177084,3.68E-05,0.572918203,0.604957924,0.305699855,0.37290372,0.001985357,0.085931551,0.378329859,0.011937403,0.046629804,0.046787443,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
numcorrectbits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,13,12,17,20,16,17,17,16,16,16,14,13,13,14,17,19,13,14,14,15,13,10,18,14,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
epoch number,test number,l,N,G,Pm,Pc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,3,30,20,25,0.1,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
averagefitness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.130604764,0.213133276,0.057789844,0.258007516,0.178160972,0.001269367,0.064255336,0.087665796,0.089354082,0.006388493,0.011813389,0.529547645,0.185601798,4.61E-07,0.013546557,0.118874171,0.120827837,0.138142883,0.019289531,0.018590493,0.029673699,0.002539917,0.353722889,0.213406521,0.442961502,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bestfitness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.779056066,0.844280486,0.592904853,0.559986163,0.424249416,0.005077466,0.128510672,0.186325269,0.221250783,0.008221546,0.025479734,0.65836773,0.658381252,1.67E-06,0.014119583,0.118874171,0.120827837,0.138142883,0.104025324,0.105306242,0.04904872,0.005079834,0.353722889,0.691563466,0.849522069,,,,,,,,,,,,,,,,,,,,,,,,,
